page,product_name,matrix,processor,core,ram,ssd,card
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук HP 14s-dq1002ur серебристый",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук Lenovo Yoga 530-14ARR черный",IPS,AMD Ryzen 3 2200U,2 х 2.5 ГГц,RAM 4 ГБ,SSD 128 ГБ,Radeon Vega 3 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"15.6"" Ультрабук HP 15s-fq1014ur серебристый",SVA (TN+film),Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук HP Pavilion 14-ce3024ur белый",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY127T серебристый",IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"13.3"" Ультрабук HP Pavilion 13-an1017ur серебристый",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук Acer Swift 3 SF314-41-R0TE синий",IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 3 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук Acer Swift 3 SF314-41-R431 серебристый",IPS,AMD Ryzen 3 3200U,2 х 2.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 3 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук Honor MagicBook VLR-W09 серебристый",IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"14"" Ультрабук Lenovo Yoga 530-14IKB серый",IPS,Intel Core i3 7020U,2 х 2.3 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel HD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"13.3"" Ультрабук ASUS VivoBook S13 S330FA-EY004T серебристый",IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"13.3"" Ультрабук HP Pavilion 13-an1020ur серебристый",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"15.6"" Ультрабук HP Pavilion 15-cw1035ur серебристый",IPS,AMD Ryzen 3 3300U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 6 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"15.6"" Ультрабук HP Pavilion 15-cw1036ur золотистый",IPS,AMD Ryzen 3 3300U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 6 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=2,"13.3"" Ультрабук HP Pavilion 13-an1022ur серебристый",IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 4 ГБ,SSD 256 ГБ,Intel UHD 
https://www.dns-shop.ru/catalog/17a892f816404e77/noutbuki/?f%5B65c%5D=264d&p=3,"14"" Ультрабук HP 14s-dq1019ur серебристый",IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
